dataset,model_type,activation,test_loss,test_accuracy
FashionMNIST,Pure RBF,,0.963775205039978,0.6987
FashionMNIST,MLP,relu,0.4035374050319195,0.8791
FashionMNIST,Hybrid,relu,0.4822651233673096,0.8759
FashionMNIST,MLP,tanh,0.39055652091503146,0.8666
FashionMNIST,Hybrid,tanh,0.425477735888958,0.8684
FashionMNIST,MLP,sigmoid,0.3656328858613968,0.8808
FashionMNIST,Hybrid,sigmoid,0.4874390752315521,0.8703
FashionMNIST,MLP,identity,0.454488636136055,0.8395
FashionMNIST,Hybrid,identity,0.3830984704494476,0.8636
FashionMNIST,MLP,softplus,0.43733401638269426,0.8782
FashionMNIST,Hybrid,softplus,0.5329524106115103,0.8795
FashionMNIST,MLP,elu,0.405936990237236,0.8855
FashionMNIST,Hybrid,elu,0.5190600968837739,0.8769
FashionMNIST,MLP,prelu,0.42279871096909044,0.881
FashionMNIST,Hybrid,prelu,0.49041861823499205,0.8838
FashionMNIST,MLP,sinusoid,0.47803626141548156,0.8368
FashionMNIST,Hybrid,sinusoid,0.5047194296121598,0.8349
FashionMNIST,MLP,step,0.7394696537971497,0.7411
FashionMNIST,Hybrid,step,0.6148784149646759,0.7769
